position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,5,sequential,1,"(7,4) -> (5,5)",0,7895,0.0168813,1,1
LAT-ch,5,parallel,1,"(7,4) -> (5,5)",0,9359,0.0180246,0.93657,0.93657
LAT-ch,5,parallel,2,"(7,4) -> (5,5)",0,9359,0.0182166,0.9267,0.46335
LAT-ch,5,parallel,4,"(7,4) -> (5,5)",0,9359,0.018034,0.936082,0.234021
LAT-ch,5,parallel,8,"(7,4) -> (5,5)",0,9359,0.0179969,0.938016,0.117252
LAT-ch,5,parallel,16,"(7,4) -> (5,5)",0,9359,0.0181957,0.927766,0.0579854
LAT-ch,6,sequential,1,"(7,4) -> (5,5)",-500,25872,0.0606894,1,1
LAT-ch,6,parallel,1,"(7,4) -> (5,5)",-500,30054,0.0801509,0.757189,0.757189
LAT-ch,6,parallel,2,"(7,4) -> (5,5)",-500,30054,0.0804189,0.754666,0.377333
LAT-ch,6,parallel,4,"(7,4) -> (5,5)",-500,30054,0.0799972,0.758645,0.189661
LAT-ch,6,parallel,8,"(7,4) -> (5,5)",-500,30054,0.0802653,0.75611,0.0945137
LAT-ch,6,parallel,16,"(7,4) -> (5,5)",-500,30054,0.0806415,0.752582,0.0470364
LAT-ch sf,4,sequential,1,"(5,6) -> (2,6)",-600,1074,0.00303419,1,1
LAT-ch sf,4,parallel,1,"(5,6) -> (2,6)",-600,1240,0.0041793,0.726004,0.726004
LAT-ch sf,4,parallel,2,"(5,6) -> (2,6)",-600,1240,0.00443282,0.684483,0.342242
LAT-ch sf,4,parallel,4,"(5,6) -> (2,6)",-600,1240,0.0041273,0.735152,0.183788
LAT-ch sf,4,parallel,8,"(5,6) -> (2,6)",-600,1240,0.00414581,0.731869,0.0914837
LAT-ch sf,4,parallel,16,"(5,6) -> (2,6)",-600,1240,0.00434633,0.698105,0.0436315
LAT-ch sf,5,sequential,1,"(1,0) -> (0,0)",-100,11050,0.0168594,1,1
LAT-ch sf,5,parallel,1,"(1,0) -> (0,0)",300,14100,0.0232498,0.725142,0.725142
LAT-ch sf,5,parallel,2,"(1,0) -> (0,0)",300,4446,0.00634667,2.65642,1.32821
LAT-ch sf,5,parallel,4,"(1,0) -> (0,0)",300,14100,0.0233158,0.723088,0.180772
LAT-ch sf,5,parallel,8,"(1,0) -> (0,0)",300,14100,0.0233614,0.721677,0.0902096
LAT-ch sf,5,parallel,16,"(1,0) -> (0,0)",300,14100,0.023622,0.713716,0.0446072
LAT-ch sf,6,sequential,1,"(5,6) -> (2,6)",-600,16277,0.0361919,1,1
LAT-ch sf,6,parallel,1,"(5,6) -> (2,6)",-600,18395,0.0432721,0.836379,0.836379
LAT-ch sf,6,parallel,2,"(5,6) -> (2,6)",-600,18395,0.0436183,0.82974,0.41487
LAT-ch sf,6,parallel,4,"(5,6) -> (2,6)",-600,18395,0.043279,0.836246,0.209061
LAT-ch sf,6,parallel,8,"(5,6) -> (2,6)",-600,18395,0.0434583,0.832796,0.104099
LAT-ch sf,6,parallel,16,"(5,6) -> (2,6)",-600,18395,0.0436505,0.829129,0.0518205
LAT-ch,4,sequential,1,"(5,2) -> (5,3)",-50,5968,0.0138495,1,1
LAT-ch,4,parallel,1,"(5,2) -> (5,3)",-50,6432,0.0169322,0.817938,0.817938
LAT-ch,4,parallel,2,"(5,2) -> (5,3)",-50,6137,0.0166569,0.831458,0.415729
LAT-ch,4,parallel,4,"(5,2) -> (5,3)",-50,6474,0.0168556,0.821655,0.205414
LAT-ch,4,parallel,8,"(5,2) -> (5,3)",-50,6432,0.0168521,0.821826,0.102728
LAT-ch,4,parallel,16,"(5,2) -> (5,3)",-50,8486,0.0209339,0.661584,0.041349
LAT-ch,5,sequential,1,"(5,2) -> (5,5)",270,68395,0.0718013,1,1
LAT-ch,5,parallel,1,"(5,2) -> (5,5)",270,87212,0.0829611,0.865482,0.865482
LAT-ch,5,parallel,2,"(5,2) -> (5,5)",270,110261,0.107999,0.664831,0.332415
LAT-ch,5,parallel,4,"(5,2) -> (5,5)",270,89408,0.085145,0.843283,0.210821
LAT-ch,5,parallel,8,"(5,2) -> (5,5)",270,121595,0.128663,0.558058,0.0697572
LAT-ch,5,parallel,16,"(5,2) -> (5,5)",270,118676,0.123388,0.581916,0.0363698
LAT-ch,6,sequential,1,"(2,6) -> (2,7)",-50,93603,0.215598,1,1
LAT-ch,6,parallel,1,"(2,6) -> (2,7)",-50,133406,0.340179,0.63378,0.63378
LAT-ch,6,parallel,2,"(2,6) -> (2,7)",-50,133406,0.339774,0.634535,0.317267
LAT-ch,6,parallel,4,"(2,6) -> (1,6)",-50,127812,0.327472,0.658371,0.164593
LAT-ch,6,parallel,8,"(2,6) -> (0,6)",-50,133097,0.340707,0.632798,0.0790997
LAT-ch,6,parallel,16,"(2,6) -> (2,7)",-50,138661,0.354989,0.607339,0.0379587
LAT-ch sf,4,sequential,1,"(7,4) -> (6,4)",-730,694,0.000756393,1,1
LAT-ch sf,4,parallel,1,"(7,4) -> (6,4)",-730,694,0.000688849,1.09805,1.09805
LAT-ch sf,4,parallel,2,"(7,4) -> (6,4)",-730,694,0.001202,0.629276,0.314638
LAT-ch sf,4,parallel,4,"(7,4) -> (6,4)",-730,694,0.00109609,0.690082,0.17252
LAT-ch sf,4,parallel,8,"(7,4) -> (6,4)",-730,694,0.000807574,0.936624,0.117078
LAT-ch sf,4,parallel,16,"(7,4) -> (6,4)",-730,694,0.000896844,0.843394,0.0527121
LAT-ch sf,5,sequential,1,"(7,4) -> (6,4)",-400,2168,0.00496777,1,1
LAT-ch sf,5,parallel,1,"(7,4) -> (6,4)",-400,2168,0.00499165,0.995216,0.995216
LAT-ch sf,5,parallel,2,"(7,4) -> (6,4)",-400,2168,0.00513028,0.968325,0.484162
LAT-ch sf,5,parallel,4,"(7,4) -> (6,4)",-400,2168,0.00500466,0.99263,0.248158
LAT-ch sf,5,parallel,8,"(7,4) -> (6,4)",-400,2168,0.00508631,0.976695,0.122087
LAT-ch sf,5,parallel,16,"(7,4) -> (6,4)",-400,2168,0.00515132,0.964369,0.0602731
LAT-ch sf,6,sequential,1,"(7,4) -> (6,4)",-730,9654,0.0130113,1,1
LAT-ch sf,6,parallel,1,"(7,4) -> (6,4)",-730,9654,0.0128559,1.01209,1.01209
LAT-ch sf,6,parallel,2,"(7,4) -> (6,4)",-730,9654,0.0130059,1.00042,0.500211
LAT-ch sf,6,parallel,4,"(7,4) -> (6,4)",-730,9654,0.0129913,1.00154,0.250386
LAT-ch sf,6,parallel,8,"(7,4) -> (6,4)",-730,9654,0.0129757,1.00274,0.125343
LAT-ch sf,6,parallel,16,"(7,4) -> (6,4)",-730,9654,0.0131178,0.991887,0.0619929
LAT-ch sf,4,sequential,1,"(2,1) -> (1,1)",500,1225,0.00154512,1,1
